Id1,Id2,Nature,Polarité
P0,P1,Familiale,Positive
P0,P2,Familiale,Positive
P0,P3,Familiale,Positive
P0,P4,Familiale,Positive
P0,P5,Familiale,Positive
P0,P6,Amicale;Professionnelle,Positive
P0,P7,Familiale,NA
P0,P8,Amicale;Professionnelle,Positive
P0,P9,Amicale;Professionnelle,Positive
P0,P10,Amicale;Professionnelle,Positive
P0,P11,Amicale;Professionnelle,Positive
P0,P12,Amicale;Professionnelle,Positive
P0,P13,Amicale;Professionnelle,Positive
P0,P14,Amicale;Professionnelle,Positive
P0,P15,Amicale;Professionnelle,Positive
P0,P16,Amicale;Professionnelle,Positive
P0,P17,NA,NA
P0,P18,Amicale;Professionnelle,Positive
P0,P19,Amicale;Professionnelle,Positive
P0,P20,Amicale;Professionnelle,Positive
P0,P21,Amicale;Professionnelle,Positive
P0,P22,Amicale;Professionnelle,Positive
P0,P23,Amicale;Professionnelle,Positive
P0,P24,Amicale;Professionnelle,Positive
P0,P25,Amicale;Professionnelle,Positive
P0,P26,Amicale;Professionnelle,Positive
P0,P27,Amicale;Professionnelle,Positive
P0,P28,Amicale;Professionnelle,Positive
P0,P29,Amicale;Professionnelle,Positive
P0,P30,Amicale;Professionnelle,Positive
P0,P31,Amicale;Professionnelle,Positive
P0,P32,Amicale;Professionnelle,Positive
P0,P33,Amicale;Professionnelle,Positive
P0,P34,Amicale;Professionnelle,Positive
P0,P35,Professionnelle,NA
P0,P36,Professionnelle,Positive
P0,P37,Professionnelle,NA
P0,P38,Professionnelle,Positive
P0,P39,Professionnelle,Positive
P0,P40,Professionnelle,Positive
P0,P41,Professionnelle,Positive
P0,P42,Professionnelle,Positive
P0,P43,Professionnelle,Positive
P0,P44,Professionnelle,Positive
P0,P45,NA,Négative
P0,P46,NA,NA
P0,P47,Professionnelle,Positive
P0,P48,Professionnelle,Positive
P0,P49,NA,NA
P0,P50,Professionnelle,NA
P0,P51,Amicale;Professionnelle,Positive
P0,P52,Professionnelle,Positive
P0,P53,Professionnelle,Positive
P0,P54,Professionnelle,Positive
P0,P55,Professionnelle,Positive
P0,P56,Professionnelle,Positive
P0,P57,Professionnelle,NA
P0,P58,Professionnelle,Positive
P0,P59,Professionnelle,Positive
P0,P60,Professionnelle,Positive
P0,P61,Professionnelle,Positive
P0,P62,Professionnelle,Positive
P0,P63,Professionnelle,Positive
P0,P64,Amicale;Professionnelle,Positive
P0,P65,Professionnelle,Positive
P0,P66,Professionnelle,Positive
P1,P2,Familiale;Professionnelle,Positive
P1,P3,Familiale,NA
P1,P4,Familiale,Positive
P1,P6,Professionnelle;Familiale,NA
P1,P7,Familiale,NA
P1,P8,Amicale,Positive
P1,P23,NA,Négative
P1,P25,Amicale,Positive
P1,P61,Amicale,Positive
P2,P3,Familiale,Positive
P2,P4,Familiale,Positive
P2,P5,Familiale,Négative
P2,P6,Professionnelle;Familiale,NA
P2,P8,Amicale;Professionnelle,Positive
P2,P11,Professionnelle,Négative
P2,P12,Familiale;Professionnelle,Positive
P2,P14,Amicale;Professionnelle,Positive
P2,P16,Professionnelle,Négative
P2,P18,Amicale;Professionnelle,Positive
P2,P19,Familiale;Amicale;Professionnelle,Positive
P2,P21,Professionnelle,Négative
P2,P22,Amicale;Professionnelle,Positive
P2,P23,Professionnelle,Négative
P2,P27,Professionnelle,Négative
P2,P28,Professionnelle,NA
P2,P31,Professionnelle,Positive
P2,P34,Professionnelle,Négative
P2,P36,Professionnelle,Positive
P2,P39,Professionnelle,NA
P2,P40,Professionnelle,Positive
P2,P42,Professionnelle,NA
P2,P45,NA,Négative
P2,P46,Professionnelle,Positive
P2,P49,Amicale;Professionnelle,Positive
P2,P53,Professionnelle,Négative
P2,P55,Professionnelle,Positive
P2,P56,Amicale;Professionnelle,Positive
P2,P57,Amicale;Professionnelle,Positive
P2,P60,Professionnelle,Positive
P2,P63,Amicale;Professionnelle,Positive
P2,P64,Professionnelle,Positive
P3,P4,Familiale,Positive
P3,P5,Familiale,Positive
P3,P6,Professionnelle;Familiale,NA
P3,P6,Professionnelle;Familiale,NA
P3,P7,Familiale,Positive
P4,P5,Familiale,Positive
P4,P6,Professionnelle;Familiale,NA
P4,P7,Familiale,Positive
P5,P6,Professionnelle;Familiale,NA
P5,P7,Familiale,NA
P5,P63,Amicale,Positive
P5,P63,Amicale,Positive
P6,P7,Professionnelle;Familiale,NA
P6,P25,NA,Négative
P8,P11,Professionnelle,Négative
P8,P16,Professionnelle,Négative
P8,P27,Professionnelle,Négative
P8,P53,Professionnelle,Négative
P10,P35,Amicale,Positive
P10,P50,Amicale,Positive
P11,P16,Amicale;Professionnelle,Positive
P11,P17,Amicale,Positive
P11,P19,Amicale;Professionnelle,Positive
P11,P27,Amicale;Professionnelle,Positive
P11,P53,Amicale;Professionnelle,Positive
P11,P64,Professionnelle,Négative
P12,P25,Amicale,Positive
P14,P22,Professionnelle,Positive
P16,P19,Amicale;Professionnelle,Positive
P16,P27,Amicale;Professionnelle,Positive
P16,P53,Amicale;Professionnelle,Positive
P17,P25,Amicale,Positive
P17,P43,Amicale,Positive
P17,P51,Amicale,Positive
P19,P22,Professionnelle,Positive
P19,P25,Amicale,Positive
P19,P27,Amicale;Professionnelle,Positive
P19,P40,Professionnelle,Négative
P20,P25,NA,Négative
P20,P25,NA,Négative
P22,P25,Amicale,Positive
P22,P33,Professionnelle,NA
P22,P56,Amicale,Positive
P23,P27,Amicale;Professionnelle,Positive
P24,P25,Amicale,Positive
P25,P31,Amicale,Positive
P25,P32,Amicale,Positive
P25,P36,Amicale,Positive
P25,P36,Amicale,Positive
P25,P38,Amicale,Positive
P25,P42,Amicale,Positive
P25,P42,Amicale,Positive
P25,P43,Amicale,Positive
P25,P43,Amicale,Positive
P25,P50,Amicale,Positive
P25,P51,Amicale,Positive
P25,P61,Amicale,Positive
P25,P63,Amicale,Positive
P25,P63,Amicale,Positive
P25,P66,Amicale,Positive
P26,P66,Professionnelle,Négative
P27,P53,Amicale;Professionnelle,Positive
P28,P53,Professionnelle,NA
P42,P48,Professionnelle,Positive
P42,P63,Familiale,Positive
